cornish;Cornish;;;;;;;;;;;;;x
pictish;Pictish;;;;;;;;;;;;;x
lappish;Sámi;;;;;;;;;;;;;x
nubian;Nubian;;;;;;;;;;;;;x
somali;Somali;;;;;;;;;;;;;x
coptic;Coptic;;;;;;;;;;;;;x
south_germanic;South Germanic;;;;;;;;;;;;;x
vandal;Vandal;;;;;;;;;;;;;x
burgundian;Burgundian;;;;;;;;;;;;;x
gothic;Gothic;;;;;;;;;;;;;x
langobard;Langobard;;;;;;;;;;;;;x
coptic;Coptic;;;;;;;;;;;;;x
southslavic;South Slavic;;;;;;;;;;;;;x
saxon;Anglo-Saxon;;;;;;;;;;;;;x
cont_saxon;Saxon;;;;;;;;;;;;;x
frisian;Frisian;;;;;;;;;;;;;
lechitic;Lechitic;;;;;;;;;;;;;x
german;Franconian;;;;;;;;;;;;;x # WTF Darkgamma - hehe
bavarian;Bavarian;;;;;;;;;;;;;x 
central_germanic;German;;;;;;;;;;;;;x
frankish;Gallic;;;;;;;;;;;;;x
paleo;Sordonic;;;;;;;;;;;;;x
lettigallish;Latvian;;;;;;;;;;;;;x # WTF SBolshevik - rurz
castillan;Iberian;;;;;;;;;;;;;x
arevacian;Arevacian;;;;;;;;;;;;;x
uralic;Uralic;;;;;;;;;;;;;x
samoyed;Nenets;;;;;;;;;;;;;x
dorian;Dorian;;;;;;;;;;;;;x
aeolian;Aeolian;;;;;;;;;;;;;x
ionian;Ionian;;;;;;;;;;;;;x
vistulan;Vistulan;;;;;;;;;;;;;x
mazovian;Mazovian;;;;;;;;;;;;;x
prussian;Prussian;;;;;;;;;;;;;x
silesian;Silesian;;;;;;;;;;;;;x
kashubian;Kashubian;;;;;;;;;;;;;x
pomeranian;Pomeranian;;;;;;;;;;;;;x
sorbian;Sorbian;;;;;;;;;;;;;x
rane;Rane;;;;;;;;;;;;;x
obodrite;Obodrite;;;;;;;;;;;;;x
turkish;Oghuz;;;;;;;;;;;;;x # WTF SBolshevik
bactrian;Bactrian;;;;;;;;;;;;;x
tocharian;Tocharian;;;;;;;;;;;;;x
tocharian_group;Tocharian;;;;;;;;;;;;;x
