immaculist;Immaculist;;;;;;;;;;;;;x
maculist;Maculist;;;;;;;;;;;;;x
arian;Arian;;;;;;;;;;;;;x
sabellian;Sabellian;;;;;;;;;;;;;x
arab_pagan_group;Arabic;;;;;;;;;;;;;x
arab_pagan;Arabic Pagan;;;;;;;;;;;;;x
germanic_group;Germanic;;;;;;;;;;;;;x
tengri_group;Tengri;;;;;;;;;;;;;x
baltic_group;Baltic;;;;;;;;;;;;;x
uralic_group;Uralic;;;;;;;;;;;;;x
aztec_group;Aztec;;;;;;;;;;;;;x
slavic_group;Slavic;;;;;;;;;;;;;x
hellenic_pagan_group;Hellenic;;;;;;;;;;;;;x
baltic_pagan;Baltic Pagan;;;;;;;;;;;;;x
baltic_pagan_reformed;Baltic;;;;;;;;;;;;;x

zurvanist;Zurvanist;;;;;;;;;;;;;x
akaist;Akaist;;;;;;;;;;;;;x
GOD_ANGRA;Angra Mainiuu;;;;;;;;;;;;;x
GOD_AKA;Aka Mainiuu;;;;;;;;;;;;;x
GOD_ACHISTA;Achista Mainiuu;;;;;;;;;;;;;x
GOD_AESHMA;Aeshma;;;;;;;;;;;;;x
THE_AKA_AVESTA;Aka Avesta;;;;;;;;;;;;;x
PROPHET_ZOROASTER;Zarathushtra;;;;;;;;;;;;;x

johannist;Johannist;;;;;;;;;;;;;x
marcinian;Marcinian;;;;;;;;;;;;;x
rapturist;Rapturist;;;;;;;;;;;;;x
GOD_MARY;Mary;;;;;;;;;;;;;x
PROPHET_JOHN;John the Prophet;;;;;;;;;;;;;x
PROPHET_MARCUS;Marcus;;;;;;;;;;;;;x
THE_WORD_OF_JOHN;The Word of John;;;;;;;;;;;;;x
THE_WORD_OF_MARCUS;The Word of Marcus;;;;;;;;;;;;;x
THE_WORD_OF_GOD;The Word of God;;;;;;;;;;;;;x
GOD_RAPTURED_JESUS;Raptured Jesus;;;;;;;;;;;;;x
GOD_RAPTURE;The Rapture;;;;;;;;;;;;;x
GOD_THE_RAPTURED;The Raptured;;;;;;;;;;;;;x

norse_pagan;Old Norse;;;;;;;;;;;;;x
contgermanic;Germanic Pagan;;;;;;;;;;;;;x
contgermanic_reformed;Germanic Pagan;;;;;;;;;;;;;x
saxon_pagan;Saxon Pagan;;;;;;;;;;;;;x
saxon_pagan_reformed;Saxon Pagan;;;;;;;;;;;;;x
THE_CHANTS;The Chants;;;;;;;;;;;;;x
GOD_WOTAN;Wotan;;;;;;;;;;;;;x
GOD_WODAN;Wodan;;;;;;;;;;;;;x
GOD_DONAR;Donar;;;;;;;;;;;;;x
GOD_FROUWA;Frouwa;;;;;;;;;;;;;x
GOD_WIRD;Wird;;;;;;;;;;;;;x
GOD_SONNA;Sonna;;;;;;;;;;;;;x
GOD_ZIU;Ziu;;;;;;;;;;;;;x
GOD_TIU;Tiu;;;;;;;;;;;;;x
GOD_IRMIN;Irmin;;;;;;;;;;;;;x

dravidian_group;Dravidian;;;;;;;;;;;;;x
dravidian_pagan;Dravidian;;;;;;;;;;;;;x
GOD_AIYANAR;Aiyanar;;;;;;;;;;;;;x
GOD_MARIAMMAN;Mariamman;;;;;;;;;;;;;x
GOD_MUNISHSWARAN;Munishswaran;;;;;;;;;;;;;x
GOD_KARUPPU_SAMI;Karuppu Sami;;;;;;;;;;;;;x

caananite_group;Caananite;;;;;;;;;;;;;x
daganist;Daganist;;;;;;;;;;;;;x
GOD_DAGAN;Dagan;;;;;;;;;;;;;x
GOD_DAGON;Dagon;;;;;;;;;;;;;x
GOD_BAAL;Ba'al;;;;;;;;;;;;;x
GOD_BAL_DAGON;Ba'al-Dagon;;;;;;;;;;;;;x

finnish_pagan;Finnic Pagan;;;;;;;;;;;;;x
finnish_pagan_reformed;Finnic;;;;;;;;;;;;;x
hungarian_pagan;Hungarian Pagan;;;;;;;;;;;;;x
hungarian_pagan_reformed;Hungarian;;;;;;;;;;;;;x
ugric_pagan;Ugric Pagan;;;;;;;;;;;;;x
ugric_pagan_reformed;Ugric;;;;;;;;;;;;;x
volgaic_pagan;Volgaic Pagan;;;;;;;;;;;;;x
volgaic_pagan_reformed;Volgaic;;;;;;;;;;;;;x
samoyedic_pagan;Samoyedic Pagan;;;;;;;;;;;;;x
samoyedic_pagan_reformed;Samoyedic;;;;;;;;;;;;;x
saami_pagan;Sámi Pagan;;;;;;;;;;;;;x
saami_pagan_reformed;Sámi;;;;;;;;;;;;;x

bon_group;Bön;;;;;;;;;;;;;x
bon_pagan;Bön;;;;;;;;;;;;;x
GOD_BDUD-GZA-SMIN-DKAR;bDud-gza'-smin-dkar;;;;;;;;;;;;;x
GOD_PHO-LHA;Pho-Lha;;;;;;;;;;;;;x
GOD_PE-HAR;Pe-Har;;;;;;;;;;;;;x
GOD_PHUK-LHA;Phuk-Lha;;;;;;;;;;;;;x
MDZOD_PHUG;mDzod Phug;;;;;;;;;;;;;x
SLOB-DPON;Slob-dpon;;;;;;;;;;;;;

slavic_pagan;Slavic Pagan;;;;;;;;;;;;;x
slavic_pagan_old;Old Slavic;;;;;;;;;;;;;x
GOD_SVANTEVIT;Svantevit;;;;;;;;;;;;;x
VOLHV;Volkhv;;;;;;;;;;;;;x
VELIKIY_VOLKHV;Velikiy Volkhv;;;;;;;;;;;;;x
VELIKAYA_VOLKHVA;Velikaya Volkhva;;;;;;;;;;;;;x
VELIKIY_VOLKHV_FOA;Your Holiness;;;;;;;;;;;;;x

tengri_pagan;Old Tengri;;;;;;;;;;;;;x
